Country,Crop,Year,Temperature,Rainfall,CO2_Emission,Humidity,Yield,Area,Production,Extreme_Weather_Events,Synthetic_Data_Used,Data_Source,Area_outlier,Production_outlier,Extreme_Weather_Events_outlier,outlier_score
Bangladesh,maize,2000,0.6719385955400181,1.528056157023734,-1.3457774932399489,0.7075464367185469,1.458,-0.8682221162536333,-0.6828318223245178,1.3941346161859847,True,Synthetic,False,False,False,0
Bangladesh,rice,2000,0.6886421380907084,1.4648747045758648,-1.1445986896036369,1.3978534254480088,2.747,-0.3208613054003077,0.16333543193495653,-0.6965647361333003,True,Synthetic,False,False,False,0
Bangladesh,soybean,2000,0.39121549282764606,1.5342271374992393,-1.6844034764241336,0.7324491521552807,0.6,-1.1531904695173436,-1.0783227932955706,-0.6965647361333003,True,Synthetic,False,False,False,0
Bangladesh,wheat,2000,0.8450598078677125,1.429031938113774,-2.102745719933223,0.8116174863048977,0.6,-0.9210782344417223,-1.0501881083748175,0.8714597781061634,True,Synthetic,False,False,False,0
Brazil,maize,2000,0.8142424192858193,0.6210241865327719,-1.8415081374278552,-0.07651741721861836,1.767,-0.23864963247271423,-0.3278578485165991,-0.17388989805347907,True,Synthetic,False,False,False,0
Brazil,rice,2000,1.1029935812086007,0.8267235357162824,-1.4248212607782076,1.8282615519515586,2.928,0.6815028996675133,0.8525942749949433,-1.2192395742131215,True,Synthetic,False,False,False,0
Brazil,soybean,2000,0.23557473200648793,0.9844479984335096,-1.5380587000067698,0.6623870348444694,1.055,0.7379888643396838,-0.5100694489593424,0.8714597781061634,True,Synthetic,False,False,False,0
Brazil,wheat,2000,0.8286152349689714,0.8452696099238749,-1.468481561695936,1.1456669713610848,0.6,2.0212952222684164,-0.6935382751786426,0.8714597781061634,True,Synthetic,False,False,False,0
China,maize,2000,-0.6854508351490027,-0.6901214120860077,-1.9200346028225392,-0.5965939034104064,3.086,0.8202020386078784,1.0552531542324834,-0.6965647361333003,True,Synthetic,False,False,False,0
China,rice,2000,-0.8351352939753415,-0.7457403072531572,-1.475309949991126,0.01389430710952346,2.05,-0.029988811695469807,-0.08636068890805124,-0.17388989805347907,True,Synthetic,False,False,False,0
